,block_number,from_address,to_address,isERC20
43825417,12617654,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x517cd768267734e5ce2abced156565898ec35e0c,False
3971781,4831477,0x0000000000b3f879cb30fe243b4dfee438691c04,0xaadcfb6f8097222495c77a8e09a68a30933a4f35,False
26888558,10336707,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xfb51dd6db09c866e4c5c75ab578ff22319047b06,False
33979638,11141762,0xf6874c88757721a02f47592140905c4336dfbc61,0x5d6107e6218b8aabd514fec3d8d8dd4f7ee8717c,False
17831217,8376970,0x0000000000b3f879cb30fe243b4dfee438691c04,0x04a2e88c39739962346870cfe3b3efce6f990d44,False
28018938,10444651,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xd3760c80b57e1d345c4da904d53b7991e46e93a4,False
31427651,10934598,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xda0d6db89fb6b4ea1234fad56a46336c578b56cd,False
39686148,12209212,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,0x04f5fda8964d27b8547e5d0b131d1755add903f2,False
41411924,12433253,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xce5cb93c6b13dd9ae8e47364247e79542775bd96,False
24451968,9808761,0x0000000000b3f879cb30fe243b4dfee438691c04,0x66216cfbfef9c7d7caed82c7e28fbdde2b5e0a23,False
35243050,11253790,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xe10360b40760bd53217f1f50ddac12380950e1a1,False
38506151,11924854,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xff8407d6db32f2b2396e2a502154123b7abf14a4,False
32441239,11036649,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x832a47b1fb46e21f6706c02cdf5d6603591b3121,False
26452825,10236104,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xdbae767761c27d2a10fbfee06990b48a27a8d04d,False
31597441,10944752,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xeba11fca71bab9ffe6efbb2ef90dc590ed04b3c1,False
36319587,11390921,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x98128d6037f9dbb92b40d0441d7c0a7727d57816,False
44601778,12672483,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x50e7659d14a24342a4e325d1c7a0384b4ba879c1,False
43490863,12596069,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x8fb9bc7e0eb880fc8a2419f55efd67874e6d5618,False
16293497,8006343,0x0000000000b3f879cb30fe243b4dfee438691c04,0xb15021193b114552d2fa4b45f2b9302c4c347085,False
28124122,10454210,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xa179a67d45d339dd632f84194ff1c5437fffc881,False
29911466,10718872,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x114a30d72daaf9b295efcf6b42ed1ee66c6b520a,False
27397964,10396585,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x427c1f68d4dd3ce1eb0917ba0d97a7379ba8e690,False
30876926,10828802,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xf8f637412d1b4ccd76f923db03e9c5cbfc8852fc,False
37521811,11716655,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0x20c5a785d71e2faaf389782839d8ff32afdde4ca,True
33363321,11090236,0xf6874c88757721a02f47592140905c4336dfbc61,0x674c7083d3b4828b867b922a9b619491da98af85,False
35579176,11336135,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xcbc417a9245743545226cb0aa91ba654d0349238,False
31319997,10923204,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x2ae0134d31de99fbf95c8eda77b9c526e0b9c279,False
38134492,11840245,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x343b55987769b9ccd2893cc647dda47cb35a5275,False
4527300,4964985,0x0000000000b3f879cb30fe243b4dfee438691c04,0x5d356d56e2f76f03b631b6b79abd2bcd2142e976,False
27939692,10440904,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x5c34d1eef9ca6d2a978a568ff3eb56f1e2cef746,False
